smiles,logp
C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,6.86
CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,4.72
NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,1.27
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,1.87
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,2.16
CCCC(CCC)C(=O)O,2.54
CN(C)CCc1c[nH]c2ccc(CC3COC(=O)N3)cc12,2.25
CC(=O)Nc1ccc(O)cc1,0.51
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,4.02
COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,1.20
CCN1CCN(C(=O)NC(C(=O)NC2C(=O)N3C2SC(C)(C)C3C(=O)O)c2ccccc2)C(=O)C1=O,0.67
CN1CC(C(=O)NC2(C)OC3(O)C4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)CC2c3cccc4[nH]cc(c34)CC21,3.04
CN(C)CCC=C1c2ccccc2CCc2ccccc21,5.10
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F,-1.15
Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,2.63
CC(=O)C1(O)CCC2C3CC(C)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,2.34
CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5,1.69
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,4.25
CCC(CO)NCCNC(CC)CO,-0.12
CN(C)C(=N)N=C(N)N,-1.83
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,4.14
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,0.57
NC(=O)NN=Cc1ccc([N+](=O)[O-])o1,0.23
COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1,1.66
NC(=O)c1cnccn1,-0.71
CN1CCCC(CC2c3ccccc3Sc3ccccc32)C1,5.51
O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,2.98
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,5.89
COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1,3.09
CNCCCC1c2ccccc2C=Cc2ccccc21,4.65
Nc1ccc(C(=O)NCC(=O)O)cc1,0.00
COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC,2.02
CN1C(=O)OC(C)(C)C1=O,0.07
O=C1CCCC(=O)C1C(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-],2.06
CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,2.14
CC(=O)OC1(C(C)=O)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C,3.71
Nc1nc(=S)c2[nH]cnc2[nH]1,-0.36
CCC(CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,1.74
